symbol,name,price
II1RP34.SA,Trane Technologies plc,"1,219.12"
SSBUB34.SA,Starbucks Corporation,490.90
MMOOO34.SA,"Altria Group, Inc.",335.00
BB1AM34.SA,Brookfield Corporation,61.99
MMELI34.SA,"MercadoLibre, Inc.",86.95
NNOCG34.SA,Northrop Grumman Corporation,732.96
IITUB4.SA,Itaú Unibanco Holding S.A.,47.77
AARNC34.SA,Howmet Aerospace Inc.,"1,289.67"
CCVSH34.SA,CVS Health Corporation,40.80
UUPSS34.SA,"United Parcel Service, Inc.",37.81
PPETR3.SA,Petróleo Brasileiro S.A. - Petrobras,39.70
WW1DC34.SA,Western Digital Corporation,"1,472.00"
DDUKB34.SA,Duke Energy Corporation,645.94
PPNCS34.SA,"The PNC Financial Services Group, Inc.",615.48
PPETR4.SA,Petróleo Brasileiro S.A. - Petrobras,36.89
MM1TT34.SA,"Marriott International, Inc.",466.90
NNIKE34.SA,"NIKE, Inc.",33.38
SS1PO34.SA,Spotify Technology S.A.,599.00
GGDBR34.SA,General Dynamics Corporation,"1,822.72"
WW1MC34.SA,"Waste Management, Inc.",608.00
SS1TX34.SA,Seagate Technology Holdings plc,"2,219.75"
IITUB3.SA,Itaú Unibanco Holding S.A.,44.34
EEQIX34.SA,"Equinix, Inc.",62.17
FFCXO34.SA,Freeport-McMoRan Inc.,112.00
SS1HW34.SA,The Sherwin-Williams Company,192.47
NN1GG34.SA,National Grid plc,80.20
UUSBC34.SA,U.S. Bancorp,75.69
MMMMC34.SA,3M Company,222.33
FFDXB34.SA,FedEx Corporation,"1,962.81"
TT1OW34.SA,American Tower Corporation,41.64
RR1CL34.SA,Royal Caribbean Cruises Ltd.,836.94
WW1MB34.SA,"The Williams Companies, Inc.",371.68
TTXSA34.SA,Ternium S.A.,230.22
BB1CS34.SA,Barclays PLC,131.00
AADPR34.SA,"Automatic Data Processing, Inc.",46.50
RREGN34.SA,"Regeneron Pharmaceuticals, Inc.",69.13
MM1MC34.SA,"Marsh & McLennan Companies, Inc.",452.74
EE1CL34.SA,Ecolab Inc.,373.16
SS1NP34.SA,"Synopsys, Inc.",569.25
CC1MI34.SA,Cummins Inc.,780.75
IINGG34.SA,ING Groep N.V.,148.48
RROXO34.SA,Nu Holdings Ltd.,14.75
LL1YG34.SA,Lloyds Banking Group plc,29.16
OORLY34.SA,"O'Reilly Automotive, Inc.",1.64
CC1DN34.SA,"Cadence Design Systems, Inc.",781.54
BBPAC3.SA,Banco BTG Pactual S.A.,43.20
BBONY34.SA,The Bank of New York Mellon Corporation,615.27
MM1NS34.SA,Monster Beverage Corporation,53.44
